method,metric,support,min_threshold,itemsets,rules,time
fpgrowth,lift,0.01,0.1,116,0,33.33430480957031
fpgrowth,lift,0.01,0.2,116,0,30.96344804763794
fpgrowth,lift,0.01,0.3,116,0,34.326430559158325
fpgrowth,lift,0.01,0.4,116,0,30.152440309524536
fpgrowth,lift,0.01,0.5,116,0,32.898374795913696
fpgrowth,confidence,0.01,0.5,116,0,32.832014083862305
fpgrowth,confidence,0.01,0.6,116,0,30.93020486831665
fpgrowth,confidence,0.01,0.7,116,0,28.40463638305664
fpgrowth,confidence,0.01,0.8,116,0,30.969661474227905
fpgrowth,confidence,0.01,0.9,116,0,30.94727921485901
fpgrowth,conviction,0.01,0.0,116,28,29.631768703460693
fpgrowth,conviction,0.01,0.1,116,0,31.03417420387268
fpgrowth,conviction,0.01,0.2,116,0,30.464591026306152
fpgrowth,conviction,0.01,0.3,116,0,34.058505058288574
fpgrowth,conviction,0.01,0.4,116,0,32.329906940460205
fpgrowth,leverage,0.01,-0.1,116,28,32.86879253387451
fpgrowth,leverage,0.01,-0.05,116,28,32.982367277145386
fpgrowth,leverage,0.01,0.0,116,28,30.40273404121399
fpgrowth,leverage,0.01,0.05,116,0,33.332865715026855
fpgrowth,leverage,0.01,0.1,116,0,29.534287452697754
fpgrowth,support,0.01,0.01,116,28,33.98032879829407
fpgrowth,support,0.01,0.02,116,0,33.752010345458984
fpgrowth,support,0.01,0.03,116,0,34.86109685897827
fpgrowth,support,0.01,0.04,116,0,33.50425958633423
fpgrowth,support,0.01,0.05,116,0,30.459787845611572
