method,support,itemsets,rules,time
apriori,0.1,2,0,1.226555347442627
apriori,0.08,3,0,1.1926093101501465
apriori,0.06,5,0,1.298943281173706
apriori,0.04,11,0,2.0647945404052734
apriori,0.02,39,0,16.074490785598755
apriori,0.01,116,0,689.5576927661896
fpmax,0.1,2,0,14.009018421173096
fpmax,0.08,3,0,12.208461284637451
fpmax,0.06,5,0,12.583491086959839
fpmax,0.04,11,0,13.286178827285767
fpmax,0.02,39,0,16.799634218215942
fpmax,0.01,106,0,38.056122064590454
fpgrowth,0.1,2,0,12.21682357788086
fpgrowth,0.08,3,0,12.303855895996094
fpgrowth,0.06,5,0,12.641562938690186
fpgrowth,0.04,11,0,13.64492654800415
fpgrowth,0.02,39,0,16.97985577583313
fpgrowth,0.01,116,0,31.18737769126892
eclat,0.1,2,0,45.80348801612854
eclat,0.08,3,0,43.60292029380798
eclat,0.06,5,0,48.197601318359375
eclat,0.04,11,0,46.88033199310303
eclat,0.02,39,0,52.963555335998535
eclat,0.01,116,0,71.98359203338623
