support,itemsets
0.0008000313542614734,frozenset({'Sparkling Orange Juice & Prickly Pear Beverage'})
0.0006737433566603232,frozenset({'Salted Caramel Lean Protein & Fiber Bar'})
0.002033050128869747,frozenset({'Peanut Butter Cereal'})
0.005727440639975314,frozenset({'European Cucumber'})
0.0007179130504025974,frozenset({'Vegetarian Grain Meat Sausages Italian - 4 CT'})
0.0011151292399017815,frozenset({'Wild Albacore Tuna No Salt Added'})
0.0008669080032374519,frozenset({'Organic Rice Vinegar'})
0.0013558851762153043,frozenset({'English Muffins'})
0.0011309930031472462,frozenset({'Petit Suisse Fruit'})
0.0012019133564799118,frozenset({'Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack'})
0.001131926165691097,frozenset({'Restaurant Style Organic Chia & Quinoa Tortilla Chips'})
0.0015250986508335942,frozenset({'Nectarines'})
0.0010208798229728443,frozenset({'100% Recycled Aluminum Foil'})
0.0015300755177341321,frozenset({'Organic Mini Homestyle Waffles'})
0.011132940202322082,frozenset({'Soda'})
0.0015338081679095355,frozenset({'Free & Clear Natural Laundry Detergent For Sensitive Skin'})
0.0014159186332030431,frozenset({'Homemade Hot Arrabbiata Fra Diavolo Sauce'})
0.00198172618895795,frozenset({'Dried Sweetened Cranberries'})
0.0006323731505496016,frozenset({'Vegetable Pot Pie'})
0.007434194932678544,frozenset({'Cantaloupe'})
0.0009409388983829537,frozenset({'Non-Fat Blueberry on the Bottom Greek Yogurt'})
0.0006858744697303844,frozenset({'Snack Bags'})
0.0007633269608700061,frozenset({'French Vanilla Ice Cream'})
0.0009446715485583572,frozenset({'Diet Root Beer'})
0.0009424941692893718,frozenset({'Organic Whole Wheat Elbows'})
0.0009664453412482107,frozenset({'Turkey'})
0.002554376936701096,frozenset({'Naturals Savory Turkey Breakfast Sausage'})
0.0048085865884634985,frozenset({'Organic Whole Grassmilk Milk'})
0.000989152296481915,frozenset({'Organic Whole Peeled Baby Carrots'})
0.002435554239450753,frozenset({'Cheerios Cereal'})
0.0013481088216832136,frozenset({'Pure Granulated Cane Sugar'})
0.0008547768901673907,frozenset({'Linguine Pasta'})
0.0007686148819518277,frozenset({'Dark Red Kidney Beans'})
0.009622461098008819,frozenset({'Vanilla Almond Breeze Almond Milk'})
0.0015027027497811734,frozenset({'Petite Brussels Sprouts'})
0.0008600648112492122,frozenset({'Honey Vanilla Greek Yogurt'})
0.0009393836274765356,frozenset({'Black Peppercorns'})
0.0009101445344358752,frozenset({'Tomatillo Salsa'})
0.002094949910945188,frozenset({'Garnet Sweet Potato (Yam)'})
0.0013244687039056585,frozenset({'Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender'})
